Date,Cases Age 0-9,Cases Age 10-19,Cases Age 20-29,Cases Age 30-39,Cases Age 40-49,Cases Age 50-59,Cases Age 60-69,Cases Age 70+,Cases Age Unknown,Deaths Age 0-10,Deaths Age 0-9,Deaths Age 10-19,Deaths Age 20-29,Deaths Age 30-39,Deaths Age 40-49,Deaths Age 50-59,Deaths Age 60-69,Deaths Age 70+,Deaths Age Unknown,Hospitalized Severe Age 0-10,Hospitalized Severe Age 0-9,Hospitalized Severe Age 10-19,Hospitalized Severe Age 20-29,Hospitalized Severe Age 30-39,Hospitalized Severe Age 40-49,Hospitalized Severe Age 50-59,Hospitalized Severe Age 60-69,Hospitalized Severe Age 70+,Hospitalized Severe Age Unknown
2020-01-12,1.0,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,
2020-01-13,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,
2020-01-14,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,
2020-01-15,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,
2020-01-16,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,
2020-01-17,1.0,,,,,,0.0,1.0,,,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,
2020-01-18,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,
2020-01-19,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,
2020-01-20,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,
2020-01-21,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,
2020-01-22,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,
2020-01-23,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,
2020-01-24,1.0,,,,,,1.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,,0.0,0.0,
2020-01-25,1.0,,,1.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,
2020-01-26,2.0,,,0.0,,1.0,0.0,1.0,,,,,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,
2020-01-27,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,
2020-01-28,1.0,,1.0,2.0,,0.0,2.0,0.0,,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2020-01-29,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2020-01-30,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
